date,T2M,T10M_RANGE,WD50M,WS2M_RANGE,WD2M,T2MWET,T2M_RANGE,WS2M,CLOUD_AMT,CLOUD_OD,SLP,PS,WS50M_RANGE,T10M,WS50M,PW,RH2M,PRECTOTCORR,lat,lon,location
20010101,4.38,3.09,1.41,2.23,102.03,17.95,43.5,20.58,3.69,1.33,20.69,2.3,3.8,69.46,70.72,102.03,43.7,0.03,25.0,-25.0,15
20010101,26.25,6.07,36.1,2.08,34.5,24.12,6.38,4.03,99.48,21.29,101.03,99.08,3.11,26.2,7.39,4.39,78.04,3.22,10.0,-85.0,1
20010101,19.59,40.2,101.13,0.79,6.07,21.08,0.92,21.27,81.05,40.0,1.73,79.7,1.84,2.14,7.59,3.48,101.65,0.17,17.5,-25.0,10
20010101,69.3,25.07,1.04,44.0,9.4,101.98,1.16,25.02,0.4,0.45,2.61,101.98,7.18,22.66,74.53,69.1,0.8,0.29,17.5,-55.0,8
20010101,74.84,102.49,73.5,72.47,2.0,18.57,74.2,4.2,18.94,1.87,1.1,3.01,5.27,102.49,1.08,6.1,16.42,0.01,25.0,-85.0,11
20010101,6.02,5.02,8.64,2.6,101.18,18.35,116.9,21.12,2.61,11.01,21.0,4.2,2.57,39.84,75.05,91.07,117.7,0.44,10.0,-70.0,2
20010101,19.69,14.9,102.25,0.42,4.33,21.8,0.37,21.98,75.19,14.1,2.53,95.45,3.41,3.38,5.0,2.88,102.25,0.45,25.0,-70.0,12
20010101,54.0,82.89,54.9,5.2,22.73,66.94,3.16,102.2,4.05,22.82,0.58,0.55,102.2,4.04,1.57,4.88,21.3,0.06,25.0,-40.0,14
20010101,2.22,65.3,1.5,101.86,23.7,9.39,2.2,21.16,101.86,23.78,7.23,1.28,72.37,0.62,0.55,65.4,60.79,0.18,17.5,-40.0,9
20010101,81.53,47.4,31.1,101.33,0.43,30.8,5.04,23.64,1.09,2.11,6.14,22.09,23.76,1.57,101.33,1.0,2.13,0.94,10.0,-25.0,5
20010101,9.26,3.0,0.29,2.76,101.43,22.52,62.0,24.98,7.12,0.25,25.04,2.02,1.51,85.35,73.54,101.43,61.8,1.68,10.0,-40.0,4
20010101,24.33,0.77,184.9,2.26,184.5,22.48,0.78,1.35,36.03,0.58,102.32,102.32,2.6,24.26,1.48,2.83,79.77,0.01,25.0,-55.0,13
20010101,61.3,81.21,61.7,2.17,25.39,99.39,4.54,101.82,9.31,25.55,0.51,0.47,101.82,1.39,11.05,12.43,23.83,12.56,17.5,-85.0,6
20010101,97.9,77.53,98.3,1.24,26.54,68.29,3.29,101.79,5.97,26.57,0.54,0.48,101.79,0.8,1.47,7.64,24.45,0.71,17.5,-70.0,7
20010101,26.39,0.36,64.7,1.57,64.7,23.55,0.3,7.71,20.69,1.7,101.54,101.54,2.45,26.42,10.36,2.86,70.91,0.43,10.0,-55.0,3
20010102,67.6,79.11,67.7,1.49,21.93,81.86,2.15,102.2,4.06,22.08,0.95,0.87,102.2,1.08,3.01,4.74,20.2,0.0,25.0,-40.0,14
20010102,6.59,5.2,10.09,2.23,101.19,17.23,116.3,20.25,2.84,12.22,20.1,4.49,4.73,20.48,72.99,91.08,117.5,0.0,10.0,-70.0,2
20010102,82.5,24.92,1.63,26.93,7.92,101.86,1.8,24.86,0.39,0.43,2.72,101.86,6.2,22.65,75.92,82.5,1.31,0.14,17.5,-55.0,8
20010102,83.83,102.56,74.2,72.21,2.29,19.36,74.8,2.74,19.68,2.6,1.15,2.0,6.89,102.56,1.26,8.38,17.12,0.01,25.0,-85.0,11
20010102,0.78,73.4,0.57,101.83,23.85,8.01,2.47,21.42,101.83,23.91,6.27,2.03,73.55,0.57,0.51,73.5,61.79,0.16,17.5,-40.0,9
20010102,55.2,82.05,55.6,2.07,26.09,99.22,4.82,101.8,8.48,26.18,0.89,0.8,101.8,1.37,4.93,11.31,24.54,11.5,17.5,-85.0,6
20010102,23.85,0.82,63.1,1.39,62.5,21.82,0.78,1.49,21.11,0.42,102.2,102.2,1.57,23.77,1.62,2.65,77.95,0.0,25.0,-55.0,13
20010102,94.0,75.25,94.2,1.17,26.25,70.42,2.87,101.8,5.55,26.31,1.15,1.04,101.8,0.8,1.04,6.93,23.95,0.26,17.5,-70.0,7
20010102,6.28,2.61,0.55,2.64,102.1,19.58,64.8,21.05,5.07,0.5,21.15,1.84,2.69,69.96,82.23,102.1,64.4,0.68,25.0,-25.0,15
20010102,8.44,1.06,0.28,3.37,101.45,22.87,59.8,25.03,6.56,0.25,25.08,0.7,3.65,99.46,76.43,101.45,59.5,1.88,10.0,-40.0,4
20010102,80.72,87.42,35.4,101.38,1.81,35.1,5.12,23.89,0.51,2.03,6.23,22.27,24.02,1.67,101.38,0.48,2.33,0.0,10.0,-25.0,5
20010102,19.4,46.6,101.16,0.95,6.4,21.22,1.06,21.4,77.87,46.4,0.9,59.56,1.72,1.37,8.11,2.48,101.68,0.0,17.5,-25.0,10
20010102,26.03,0.38,63.9,1.07,63.6,23.4,0.33,6.51,45.86,2.31,101.5,101.5,1.64,26.03,8.47,2.99,72.64,0.37,10.0,-55.0,3
20010102,20.03,25.5,102.29,0.52,6.3,21.91,0.48,22.1,77.37,25.2,1.7,97.09,3.67,2.44,7.75,3.36,102.29,4.03,25.0,-70.0,12
20010102,25.83,3.86,39.2,1.2,37.5,24.35,4.14,3.21,96.81,15.33,101.05,99.1,2.13,25.93,6.17,4.41,84.04,5.93,10.0,-85.0,1
20010103,96.8,25.14,1.2,17.95,6.32,101.69,2.61,25.1,0.99,1.13,2.59,101.69,5.08,22.18,69.82,96.8,1.91,0.14,17.5,-55.0,8
20010103,23.79,1.04,197.0,2.4,196.4,22.05,0.99,2.47,35.42,1.15,101.87,101.87,2.88,23.69,2.81,3.09,80.88,0.52,25.0,-55.0,13
20010103,76.5,73.35,76.5,2.64,26.33,36.57,3.03,101.61,5.13,26.4,0.8,0.7,101.61,1.9,0.9,6.32,23.83,0.27,17.5,-70.0,7
20010103,1.77,85.1,1.2,101.77,23.67,7.55,2.45,21.34,101.77,23.74,5.97,3.01,74.47,0.42,0.38,85.2,78.89,0.05,17.5,-40.0,9
20010103,18.88,0.5,102.12,1.41,5.91,21.16,1.35,21.4,72.91,0.4,2.48,78.7,3.11,3.47,7.13,2.57,102.12,0.34,25.0,-70.0,12
20010103,8.5,1.33,0.34,3.1,101.42,22.69,66.6,24.9,6.61,0.32,24.96,0.89,8.4,99.95,75.84,101.42,66.4,0.53,10.0,-40.0,4
20010103,26.04,5.25,45.3,2.35,44.2,23.43,5.76,4.11,70.2,5.59,101.07,99.12,3.35,26.08,7.75,3.24,74.11,0.16,10.0,-85.0,1
